Manufacturer,Year,Disengagement,Disengagement_main,Disengagement_first_time_flier,Disengagement_Driverless,Mileage,Mileage_main,Mileage_first_time_flier,Mileage_Driverless,Collision,Disengagement_per_Mile,Collision_per_Mile,Disengagement_if_capable_without_driver_per_Mile,Disengagement_if_not_capable_without_driver_per_Mile,Disengagement_if_driverless_per_Mile,Disengagement_if_initiated_by_human_per_Mile,Disengagement_if_initiated_by_AV_per_Mile,without_a_driver_=_Yes,without_a_driver_=_No,initiated_by_Human,initiated_by_AV,Collision in manual mode per Mile,Collision in Autonomous mode per Mile,Collision if damage is none per Mile,Collision if damaged per Mile,Collision if no injury per Mile,Collision if injury per Mile,Collision if not at fault per Mile,Collision if at fault per Mile,Collision if other human not involved per Mile,Collision if other human involved per Mile,Collision if rear per Mile,Collision if front per Mile,Collision if sides per Mile,Collision if stopped per Mile,Collision if moving per Mile,Disengagement if street per Mile,Disengagement if freeway per Mile,Disengagement if highway per Mile,Street,Freeway,Highway,Rural Road,Parking Facility,mode1_manual,mode1_auto,mode1_auto_disengaged,mode2_manual,mode2_auto,damage1_none,damage1_minor,damage1_mod,damage1_major,damage2_none,damage2_damaged,injury2_no_injury,injury2_minor_AV,injury2_minor_Human,injury3_no_injury,injury3_injured,fault2_not_at_fault,fault2_at_fault,involed2_none,involed2_Human,contact2_none,contact2_rear,contact2_front,contact2_sides,turn2_stopped,turn2_moving
SF Motors,2019,140,140,0,0,3492,3492,0,0,0,0.04009163803,0,0,0.04009163803,-0.000005,0.04009163803,0,0,140,140,0,-0.0002863688431,-0.0002863688431,-0.0002863688431,-0.0002863688431,-0.0002863688431,-0.0002863688431,-0.0002863688431,-0.0002863688431,-0.0002863688431,-0.0002863688431,-0.0002863688431,-0.0002863688431,-0.0002863688431,-0.0002863688431,-0.0002863688431,0.005154639175,0,0.03493699885,18,0,122,0,0,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
Telenav,2019,3,3,0,0,22,22,0,0,0,0.1363636364,0,0.1363636364,0,-0.000005,0.1363636364,0,3,0,3,0,-0.04545454545,-0.04545454545,-0.04545454545,-0.04545454545,-0.04545454545,-0.04545454545,-0.04545454545,-0.04545454545,-0.04545454545,-0.04545454545,-0.04545454545,-0.04545454545,-0.04545454545,-0.04545454545,-0.04545454545,0,0,0,0,0,0,0,3,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
Tesla,2019,0,0,0,0,12,12,0,0,0,0,0,0,245.5833333,-0.000005,148.3333333,97.25,0,2947,1780,1167,-0.08333333333,-0.08333333333,-0.08333333333,-0.08333333333,-0.08333333333,-0.08333333333,-0.08333333333,-0.08333333333,-0.08333333333,-0.08333333333,-0.08333333333,-0.08333333333,-0.08333333333,-0.08333333333,-0.08333333333,245.5,0,0,2946,0,0,0,1,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
ThorDrive,2019,22,0,22,0,5089,0,5089,0,0,0.004323049715,0,0,0.005305561014,-0.000005,0.005305561014,0,0,27,27,0,-0.0001965022598,-0.0001965022598,-0.0001965022598,-0.0001965022598,-0.0001965022598,-0.0001965022598,-0.0001965022598,-0.0001965022598,-0.0001965022598,-0.0001965022598,-0.0001965022598,-0.0001965022598,-0.0001965022598,-0.0001965022598,-0.0001965022598,0.005305561014,0,0,27,0,0,0,0,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
Toyota,2019,2947,2947,0,0,1817,1817,0,0,0,1.621904238,0,0.2443588332,0,-0.000005,0.2344523941,0.009906439185,444,0,426,18,-0.0005503577325,-0.0005503577325,-0.0005503577325,-0.0005503577325,-0.0005503577325,-0.0005503577325,-0.0005503577325,-0.0005503577325,-0.0005503577325,-0.0005503577325,-0.0005503577325,-0.0005503577325,-0.0005503577325,-0.0005503577325,-0.0005503577325,0.2443588332,0,0,444,0,0,0,0,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
UATC,2019,-0.2,-0.2,-0.2,-0.2,0,0,0,0,-0.2,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.2,-0.2,-0.2,-0.2,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
Udelv,2019,444,444,0,0,707,707,0,0,0,0.6280056577,0,0,0.1301272984,-0.000005,0.1301272984,0,0,92,92,0,-0.001414427157,-0.001414427157,-0.001414427157,-0.001414427157,-0.001414427157,-0.001414427157,-0.001414427157,-0.001414427157,-0.001414427157,-0.001414427157,-0.001414427157,-0.001414427157,-0.001414427157,-0.001414427157,-0.001414427157,0.1301272984,0,0,92,0,0,0,0,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
Valeo,2019,92,92,0,0,100,100,0,0,0,0.92,0,0,1.1,-0.000005,0.96,0.14,0,110,96,14,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0.84,0.02,0.23,84,2,23,0,1,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
Waymo,2019,110,110,0,0,1454132,1454132,0,0,25,0.00007564650252,0.00001719238694,0,0.00002682012362,-0.000005,0.00002269395076,0.000004126172865,0,39,33,6,0.000004126172865,0.00001237851859,0,0.00001719238694,0.00001237851859,0.000004813868342,0.00001719238694,0,0.00001650469146,0.0000006876954774,0.00001581699598,0.0000006876954774,0.0000006876954774,0.00001444160503,0.00000275078191,0.00002200625528,0.000003438477387,0,32,5,0,0,2,6,18,1,6,19,0,24,0,1,0,25,18,7,0,18,7,25,0,24,1,0,23,1,1,21,4
WeRide,2019,39,39,0,0,5917,5917,0,0,0,0.006591177962,0,0,0.007098191651,-0.000005,0.007098191651,0,0,42,42,0,-0.0001690045631,-0.0001690045631,-0.0001690045631,-0.0001690045631,-0.0001690045631,-0.0001690045631,-0.0001690045631,-0.0001690045631,-0.0001690045631,-0.0001690045631,-0.0001690045631,-0.0001690045631,-0.0001690045631,-0.0001690045631,-0.0001690045631,0.007098191651,0,0,42,0,0,0,0,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
Zoox,2019,42,42,0,0,67015,67015,0,0,8,0.00062672536,0.000119376259,0,0.00001492203238,-0.000005,0.00001492203238,0,0,1,1,0,0.00008953219428,0.00002984406476,0.00005968812952,0.00005968812952,0.0001044542267,0.00001492203238,0.000119376259,0,0.0001044542267,0.00001492203238,0.00004476609714,0.00004476609714,0,0.00005968812952,0.00005968812952,0.00001492203238,0,0,1,0,0,0,0,6,2,0,6,2,4,1,3,0,4,4,7,1,0,7,1,8,0,7,1,2,3,3,0,4,4
AImotive,2020,113,113,0,0,2987,0,0,0,0,0.03783059926,0,0,0.03783059926,-0.000005,0.03783059926,0,0,113,113,0,-0.0003347840643,-0.0003347840643,-0.0003347840643,-0.0003347840643,-0.0003347840643,-0.0003347840643,-0.0003347840643,-0.0003347840643,-0.0003347840643,-0.0003347840643,-0.0003347840643,-0.0003347840643,-0.0003347840643,-0.0003347840643,-0.0003347840643,0,0.03783059926,0,0,113,0,0,0,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
Apollo,2020,-0.2,-0.2,-0.2,-0.2,0,0,0,0,-0.2,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.2,-0.2,-0.2,-0.2,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
Apple,2020,130,130,0,0,18804,0,0,0,0,0.006913422676,0,0,0.006913422676,-0.000005,0.002605828547,0.004307594129,0,130,49,81,-0.00005318017443,-0.00005318017443,-0.00005318017443,-0.00005318017443,-0.00005318017443,-0.00005318017443,-0.00005318017443,-0.00005318017443,-0.00005318017443,-0.00005318017443,-0.00005318017443,-0.00005318017443,-0.00005318017443,-0.00005318017443,-0.00005318017443,0.006647521804,0.0001063603489,0.0001595405233,125,2,3,0,0,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
Argo AI,2020,1,0,1,0,1741,0,1741,0,0,0.0005743825388,0,0,0.0005743825388,-0.000005,0.0005743825388,0,0,1,1,0,-0.0005743825388,-0.0005743825388,-0.0005743825388,-0.0005743825388,-0.0005743825388,-0.0005743825388,-0.0005743825388,-0.0005743825388,-0.0005743825388,-0.0005743825388,-0.0005743825388,-0.0005743825388,-0.0005743825388,-0.0005743825388,-0.0005743825388,0.0005743825388,0,0,1,0,0,0,0,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
Atlas Robotics,2020,1,0,1,0,2.2,0,2.2,0,0,0.4545454545,0,0.4545454545,0,-0.000005,0.4545454545,0,1,0,1,0,-0.4545454545,-0.4545454545,-0.4545454545,-0.4545454545,-0.4545454545,-0.4545454545,-0.4545454545,-0.4545454545,-0.4545454545,-0.4545454545,-0.4545454545,-0.4545454545,-0.4545454545,-0.4545454545,-0.4545454545,0.4545454545,0,0,1,0,0,0,0,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
Aurora,2020,37,37,0,0,12199,0,0,0,1,0.003033035495,0.00008197393229,0,0.003033035495,-0.000005,0.001885400443,0.001147635052,0,37,23,14,0.00008197393229,0,0.00008197393229,0,0.00008197393229,0,0.00008197393229,0,0.00008197393229,0,0,0,0,0.00008197393229,0,0.00286908763,0.00008197393229,0.00008197393229,35,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0
AutoX,2020,2,2,0,0,40734,0,0,0,0,0.00004909903275,0,0,0.00004909903275,-0.000005,0.00004909903275,0,0,2,2,0,-0.00002454951637,-0.00002454951637,-0.00002454951637,-0.00002454951637,-0.00002454951637,-0.00002454951637,-0.00002454951637,-0.00002454951637,-0.00002454951637,-0.00002454951637,-0.00002454951637,-0.00002454951637,-0.00002454951637,-0.00002454951637,-0.00002454951637,0.00004909903275,0,0,2,0,0,0,0,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
Baidu,2020,-0.2,-0.2,-0.2,-0.2,0,0,0,0,-0.2,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.2,-0.2,-0.2,-0.2,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
BMW,2020,3,3,0,0,122,0,0,0,0,0.02459016393,0,0.02459016393,0,-0.000005,0.02459016393,0,3,0,3,0,-0.008196721311,-0.008196721311,-0.008196721311,-0.008196721311,-0.008196721311,-0.008196721311,-0.008196721311,-0.008196721311,-0.008196721311,-0.008196721311,-0.008196721311,-0.008196721311,-0.008196721311,-0.008196721311,-0.008196721311,0.02459016393,0,0,3,0,0,0,0,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
Box Bot,2020,-0.2,-0.2,-0.2,-0.2,0,0,0,0,-0.2,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.2,-0.2,-0.2,-0.2,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
CRUISE,2020,27,27,0,0,770048,0,0,0,16,0.00003506274934,0.00002077792553,0,0.00003506274934,-0.000005,0.00003506274934,0,0,27,27,0,0.00000909034242,0.00001168758311,0.000005194481383,0.00001558344415,0.00001298620346,0.000007791722074,0.00001558344415,0.000005194481383,0.00002077792553,0,0.00000909034242,0.000005194481383,0.000001298620346,0.00001168758311,0.00000909034242,0.00003506274934,0,0,27,0,0,0,0,7,9,0,7,9,4,9,3,0,4,12,10,6,0,10,6,12,4,16,0,4,7,4,1,9,7
Deeproute.AI,2020,3,0,3,0,9095,0,9095,0,0,0.0003298515668,0,0,0.0003298515668,-0.000005,0.0003298515668,0,0,3,3,0,-0.0001099505223,-0.0001099505223,-0.0001099505223,-0.0001099505223,-0.0001099505223,-0.0001099505223,-0.0001099505223,-0.0001099505223,-0.0001099505223,-0.0001099505223,-0.0001099505223,-0.0001099505223,-0.0001099505223,-0.0001099505223,-0.0001099505223,0.0003298515668,0,0,3,0,0,0,0,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
DiDi,2020,2,2,0,0,10402,0,0,0,0,0.0001922707172,0,0,0.0001922707172,-0.000005,0.0001922707172,0,0,2,2,0,-0.00009613535858,-0.00009613535858,-0.00009613535858,-0.00009613535858,-0.00009613535858,-0.00009613535858,-0.00009613535858,-0.00009613535858,-0.00009613535858,-0.00009613535858,-0.00009613535858,-0.00009613535858,-0.00009613535858,-0.00009613535858,-0.00009613535858,0.0001922707172,0,0,2,0,0,0,0,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
Drive.ai,2020,-0.2,-0.2,-0.2,-0.2,0,0,0,0,-0.2,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.2,-0.2,-0.2,-0.2,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
EasyMile,2020,128,128,0,0,424,0,0,0,0,0.3018867925,0,0,0.3018867925,-0.000005,0.2004716981,0.1014150943,0,128,85,43,-0.002358490566,-0.002358490566,-0.002358490566,-0.002358490566,-0.002358490566,-0.002358490566,-0.002358490566,-0.002358490566,-0.002358490566,-0.002358490566,-0.002358490566,-0.002358490566,-0.002358490566,-0.002358490566,-0.002358490566,0.3018867925,0,0,128,0,0,0,0,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
Gatik AI,2020,11,11,0,0,2352,0,0,0,0,0.004676870748,0,0,0.004676870748,-0.000005,0.002551020408,0.00212585034,0,11,6,5,-0.000425170068,-0.000425170068,-0.000425170068,-0.000425170068,-0.000425170068,-0.000425170068,-0.000425170068,-0.000425170068,-0.000425170068,-0.000425170068,-0.000425170068,-0.000425170068,-0.000425170068,-0.000425170068,-0.000425170068,0.004676870748,0,0,11,0,0,0,0,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
INCEPTIO,2020,0,0,0,0,39,0,39,0,0,0,0,-0.02564102564,-0.02564102564,-0.000005,-0.02564102564,-0.02564102564,-0.2,-0.2,-0.2,-0.2,-0.02564102564,-0.02564102564,-0.02564102564,-0.02564102564,-0.02564102564,-0.02564102564,-0.02564102564,-0.02564102564,-0.02564102564,-0.02564102564,-0.02564102564,-0.02564102564,-0.02564102564,-0.02564102564,-0.02564102564,-0.02564102564,-0.02564102564,-0.02564102564,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
Lyft,2020,123,123,0,0,32732,0,0,0,1,0.003757790541,0.00003055114261,0,0.003757790541,-0.000005,0.003757790541,0,0,123,123,0,0.00003055114261,0,0,0.00003055114261,0.00003055114261,0,0.00003055114261,0,0.00003055114261,0,0,0.00003055114261,0,0.00003055114261,0,0.003757790541,0,0,123,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0
Mercedes Benz,2020,1167,1167,0,0,29984,0,0,0,0,0.03892075774,0,0,0.03892075774,-0.000005,0.01850987193,0.02041088581,0,1167,555,612,-0.0000333511206,-0.0000333511206,-0.0000333511206,-0.0000333511206,-0.0000333511206,-0.0000333511206,-0.0000333511206,-0.0000333511206,-0.0000333511206,-0.0000333511206,-0.0000333511206,-0.0000333511206,-0.0000333511206,-0.0000333511206,-0.0000333511206,0.03741995731,0.001500800427,0,1122,45,0,0,0,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
Nissan,2020,4,4,0,0,395,0,0,0,0,0.01012658228,0,0,0.01012658228,-0.000005,0.007594936709,0.00253164557,0,4,3,1,-0.00253164557,-0.00253164557,-0.00253164557,-0.00253164557,-0.00253164557,-0.00253164557,-0.00253164557,-0.00253164557,-0.00253164557,-0.00253164557,-0.00253164557,-0.00253164557,-0.00253164557,-0.00253164557,-0.00253164557,0.01012658228,0,0,4,0,0,0,0,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
Nullmax,2020,-0.2,-0.2,-0.2,-0.2,0,0,0,0,-0.2,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.2,-0.2,-0.2,-0.2,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
Nuro,2020,11,11,0,0,55370,0,0,0,0,0.0001986635362,0,0,0.0001986635362,-0.000005,0.0001986635362,0,0,11,11,0,-0.00001806032147,-0.00001806032147,-0.00001806032147,-0.00001806032147,-0.00001806032147,-0.00001806032147,-0.00001806032147,-0.00001806032147,-0.00001806032147,-0.00001806032147,-0.00001806032147,-0.00001806032147,-0.00001806032147,-0.00001806032147,-0.00001806032147,0.0001986635362,0,0,11,0,0,0,0,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
NVIDIA,2020,125,125,0,0,3033,0,0,0,0,0.04121332015,0,0,0.04121332015,-0.000005,0.04121332015,0,0,125,125,0,-0.0003297065612,-0.0003297065612,-0.0003297065612,-0.0003297065612,-0.0003297065612,-0.0003297065612,-0.0003297065612,-0.0003297065612,-0.0003297065612,-0.0003297065612,-0.0003297065612,-0.0003297065612,-0.0003297065612,-0.0003297065612,-0.0003297065612,0.01055060996,0.02472799209,0.005934718101,32,75,18,0,0,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
Phantom AI,2020,-0.2,-0.2,-0.2,-0.2,0,0,0,0,-0.2,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.2,-0.2,-0.2,-0.2,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
PlusAI,2020,-0.2,-0.2,-0.2,-0.2,0,0,0,0,-0.2,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.2,-0.2,-0.2,-0.2,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
Pony.ai,2020,21,21,0,0,225496,0,0,0,2,0.00009312803775,0.000008869336928,0,0.00009312803775,-0.000005,0.00009312803775,0,0,21,21,0,0,0.000008869336928,0,0.000008869336928,0.000008869336928,0,0.000008869336928,0,0.000008869336928,0,0.000008869336928,0,0,0.000008869336928,0,0.00009312803775,0,0,21,0,0,0,0,0,2,0,0,2,0,0,2,0,0,2,2,0,0,2,0,2,0,2,0,0,2,0,0,2,0
QCraft,2020,7,0,7,0,3035,0,3035,0,0,0.002306425041,0,0,0.002306425041,-0.000005,0.00197693575,0.0003294892916,0,7,6,1,-0.0003294892916,-0.0003294892916,-0.0003294892916,-0.0003294892916,-0.0003294892916,-0.0003294892916,-0.0003294892916,-0.0003294892916,-0.0003294892916,-0.0003294892916,-0.0003294892916,-0.0003294892916,-0.0003294892916,-0.0003294892916,-0.0003294892916,0.002306425041,0,0,7,0,0,0,0,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
Qualcomm,2020,90,90,0,0,1727,0,0,0,0,0.0521134916,0,0,0.0521134916,-0.000005,0.0521134916,0,0,90,90,0,-0.0005790387956,-0.0005790387956,-0.0005790387956,-0.0005790387956,-0.0005790387956,-0.0005790387956,-0.0005790387956,-0.0005790387956,-0.0005790387956,-0.0005790387956,-0.0005790387956,-0.0005790387956,-0.0005790387956,-0.0005790387956,-0.0005790387956,0,0.03705848292,0.01505500869,0,64,26,0,0,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
