Manufacturer,Year,Disengagement,Disengagement_main,Disengagement_first_time_flier,Disengagement_Driverless,Mileage,Mileage_main,Mileage_first_time_flier,Mileage_Driverless,Collision,Disengagement_per_Mile,Collision_per_Mile,Disengagement_if_capable_without_driver_per_Mile,Disengagement_if_not_capable_without_driver_per_Mile,Disengagement_if_driverless_per_Mile,Disengagement_if_initiated_by_human_per_Mile,Disengagement_if_initiated_by_AV_per_Mile,without_a_driver_=_Yes,without_a_driver_=_No,initiated_by_Human,initiated_by_AV,Collision in manual mode per Mile,Collision in Autonomous mode per Mile,Collision if damage is none per Mile,Collision if damaged per Mile,Collision if no injury per Mile,Collision if injury per Mile,Collision if not at fault per Mile,Collision if at fault per Mile,Collision if other human not involved per Mile,Collision if other human involved per Mile,Collision if rear per Mile,Collision if front per Mile,Collision if sides per Mile,Collision if stopped per Mile,Collision if moving per Mile,Disengagement if street per Mile,Disengagement if freeway per Mile,Disengagement if highway per Mile,Street,Freeway,Highway,Rural Road,Parking Facility,mode1_manual,mode1_auto,mode1_auto_disengaged,mode2_manual,mode2_auto,damage1_none,damage1_minor,damage1_mod,damage1_major,damage2_none,damage2_damaged,injury2_no_injury,injury2_minor_AV,injury2_minor_Human,injury3_no_injury,injury3_injured,fault2_not_at_fault,fault2_at_fault,involed2_none,involed2_Human,contact2_none,contact2_rear,contact2_front,contact2_sides,turn2_stopped,turn2_moving
CRUISE,2019,68,68,0,0,831036,831036,0,0,61,0.00008182557675,0.00007340235561,0,0.00008182557675,-0.000005,0.00008182557675,0,0,68,68,0,0.00001443980766,0.00003369288454,0.00001082985575,0.00006257249987,0.00005294596143,0.00002045639419,0.00006738576909,0.000006016586526,0.00006136918256,0.00001203317305,0.0000469293749,0.00001443980766,0.000001203317305,0.00001804975958,0.00005535259604,0.00008182557675,0,0,68,0,0,0,0,12,28,21,12,49,9,40,12,0,9,52,44,11,6,44,17,56,5,51,10,9,39,12,1,15,46
Deeproute.AI,2019,0,0,0,0,923,0,923,0,0,0,0,-0.001083423619,-0.001083423619,-0.000005,-0.001083423619,-0.001083423619,-0.2,-0.2,-0.2,-0.2,-0.001083423619,-0.001083423619,-0.001083423619,-0.001083423619,-0.001083423619,-0.001083423619,-0.001083423619,-0.001083423619,-0.001083423619,-0.001083423619,-0.001083423619,-0.001083423619,-0.001083423619,-0.001083423619,-0.001083423619,-0.001083423619,-0.001083423619,-0.001083423619,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
DiDi,2019,8,0,8,0,11729.86,0,11729.86,0,0,0.0006820200753,0,0,0.0006820200753,-0.000005,0.0006820200753,0,0,8,8,0,-0.00008525250941,-0.00008525250941,-0.00008525250941,-0.00008525250941,-0.00008525250941,-0.00008525250941,-0.00008525250941,-0.00008525250941,-0.00008525250941,-0.00008525250941,-0.00008525250941,-0.00008525250941,-0.00008525250941,-0.00008525250941,-0.00008525250941,0.0006820200753,0,0,8,0,0,0,0,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
Drive.ai,2019,75,75,0,0,3975,3975,0,0,0,0.01886792453,0,0,0.01886792453,-0.000005,0.01886792453,0,0,75,75,0,-0.000251572327,-0.000251572327,-0.000251572327,-0.000251572327,-0.000251572327,-0.000251572327,-0.000251572327,-0.000251572327,-0.000251572327,-0.000251572327,-0.000251572327,-0.000251572327,-0.000251572327,-0.000251572327,-0.000251572327,0.01886792453,0,0,75,0,0,0,0,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
EasyMile,2019,-0.2,-0.2,-0.2,-0.2,0,0,0,0,-0.2,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.2,-0.2,-0.2,-0.2,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
Gatik AI,2019,20,0,20,0,2356,0,2356,0,0,0.008488964346,0,0,0.008488964346,-0.000005,0.008488964346,0,0,20,20,0,-0.0004244482173,-0.0004244482173,-0.0004244482173,-0.0004244482173,-0.0004244482173,-0.0004244482173,-0.0004244482173,-0.0004244482173,-0.0004244482173,-0.0004244482173,-0.0004244482173,-0.0004244482173,-0.0004244482173,-0.0004244482173,-0.0004244482173,0.008488964346,0,0,20,0,0,0,0,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
INCEPTIO,2019,-0.2,-0.2,-0.2,-0.2,0,0,0,0,-0.2,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.2,-0.2,-0.2,-0.2,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
Lyft,2019,1667,1667,0,0,42929,42929,0,0,6,0.03883155909,0.0001397656596,0,0.03883155909,-0.000005,0.03824920217,0.0005823569149,0,1667,1642,25,0.000116471383,0,0,0.0001397656596,0.0001397656596,0,0.00009317710638,0.00004658855319,0.0001397656596,0,0.00006988282979,0.00006988282979,0,0.00004658855319,0.00009317710638,0.03883155909,0,0,1667,0,0,0,0,5,0,1,5,1,0,6,0,0,0,6,6,0,0,6,0,4,2,6,0,0,3,3,0,2,4
Mercedes Benz,2019,2054,2054,0,0,14237,14237,0,0,0,0.1442719674,0,0,0.1442719674,-0.000005,0.05120460771,0.0930673597,0,2054,729,1325,-0.00007023951675,-0.00007023951675,-0.00007023951675,-0.00007023951675,-0.00007023951675,-0.00007023951675,-0.00007023951675,-0.00007023951675,-0.00007023951675,-0.00007023951675,-0.00007023951675,-0.00007023951675,-0.00007023951675,-0.00007023951675,-0.00007023951675,0.1314181358,0.01285383157,0,1871,183,0,0,0,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
Nissan,2019,47,47,0,0,2277,2277,0,0,0,0.02064119455,0,0,0.02064119455,-0.000005,0.02064119455,0,0,47,47,0,-0.0004391743522,-0.0004391743522,-0.0004391743522,-0.0004391743522,-0.0004391743522,-0.0004391743522,-0.0004391743522,-0.0004391743522,-0.0004391743522,-0.0004391743522,-0.0004391743522,-0.0004391743522,-0.0004391743522,-0.0004391743522,-0.0004391743522,0.01976284585,0.0008783487044,0,45,2,0,0,0,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
